id,balance,practiceBalance,responseCount,practiceResponseCount
20,2009,98,12,3
21,580,50,24,3
22,75,180,24,3
23,415,190,24,3
24,1648,20,24,3
25,80,60,24,3
26,2010,200,24,3
27,0,40,24,3
28,320,50,24,3
29,15,40,24,3
30,0,75,24,3
31,830,0,24,3
32,1250,75,24,3
900,0,500,24,1
901,1294,500,24,1
903,2200,500,1,1
905,2200,500,2,1
920,2400,1000,0,0
930,2400,0,0,3
947,2400,230,0,3
950,2400,300,0,0
954,2400,300,0,0
970,2400,0,0,3
987,2400,233,0,1
988,602,240,24,3
999,2400,0,0,2
1005,550,0,24,3
1006,2400,300,0,0
1020,0,130,24,3
